
"Haunted World", "Haunted World"
"Configuration", "Configurazione"
"Is enabled?", "è Abilitato?"
"The message will appear on frontend?", "Questo messaggio apparirà nel frontend?"
"Custom Message", "Messaggio personalizzato"
"Type here to send a message", "Scrivi qui per mandare un messaggio"
"Testing Modified Hello World Module", "Testing del Modulo Hello World Modificato"
"Custom message:", "Messaggio Personalizzato:"
"Default message:", "Messaggio di Default:"
"This module is not enabled", "Questo modulo non è abiitato"
"Click here to curse the world...", "Clicca qui per maledire il mondo..."
"Permissions for HauntedWorld", "Permessi per HauntedWorld"
"can you see this?", "can you see this?"
